WELL_OWNER_ID,WELL_ID,OWNER_POST_CODE,OWNER_COUNTRY,OWNER_PROVINCE,OWNER_CITY,OCCUPANT_POST_CODE,OCCUPANT_CITY,CREATE_TIMESTAMP
1173957,2090,T1P 1J6,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173959,2091,T1P 1J6,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173961,1849,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173963,1850,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173965,2934,T2N 4A6,Canada,Alberta,Calgary,null,null,2011-10-20T10:38:47.710Z
1173967,1851,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173969,1852,T0M 0G0,Canada,Alberta,Beiseker,null,null,2011-10-20T10:38:47.710Z
1173971,1853,T0M 0G0,Canada,Alberta,Beiseker,null,null,2011-10-20T10:38:47.710Z
1173973,1854,T0M 0G0,Canada,Alberta,Beiseker,null,null,2011-10-20T10:38:47.710Z
1173975,2318,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173977,2319,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173979,2320,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173981,2321,T0M 0A0,Canada,Alberta,Acme,null,null,2011-10-20T10:38:47.710Z
1173983,2322,T2P 2T7,Canada,Alberta,Calgary,null,null,2011-10-20T10:38:47.710Z
1173985,9345,T2P 2G7,Canada,Alberta,Calgary,null,null,2011-10-20T10:38:47.710Z
1173987,2323,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173989,2324,T0M 0L0,Canada,Alberta,Carbon,null,null,2011-10-20T10:38:47.710Z
1173991,2935,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173993,2325,T1P 1J6,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173995,229,T0M 0L0,Canada,Alberta,Carbon,null,null,2011-10-20T10:38:47.710Z
1173997,8159,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1173999,2368,T0M 0L0,Canada,Alberta,Carbon,null,null,2011-10-20T10:38:47.710Z
1174001,2369,T2P 2G7,Canada,Alberta,Calgary,null,null,2011-10-20T10:38:47.710Z
1174003,2370,T0M 0L0,Canada,Alberta,Carbon,null,null,2011-10-20T10:38:47.710Z
1174005,2969,T0M 0G0,Canada,Alberta,Beiseker,null,null,2011-10-20T10:38:47.710Z
1174007,2957,T0M 0L0,Canada,Alberta,Carbon,null,null,2011-10-20T10:38:47.710Z
1174009,2371,T0J 2R0,Canada,Alberta,Rockyview,null,null,2011-10-20T10:38:47.710Z
1174011,2372,T0M 1B0,Canada,Alberta,Irricana,null,null,2011-10-20T10:38:47.710Z
1174013,9351,T1P 1K5,Canada,Alberta,Strathmore,null,null,2011-10-20T10:38:47.710Z
1174015,2373,T1Y 6K2,Canada,Alberta,Calgary,null,null,2011-10-20T10:38:47.710Z
1174017,2374,T0M 0L0,Canada,Alberta,Carbon,null,null,2011-10-20T10:38:47.710Z
1174019,2375,T0M 0L0,Canada,Alberta,Carbon,null,null,2011-10-20T10:38:47.710Z
1174021,2376,T2P 2G7,Canada,Alberta,Calgary,null,null,2011-10-20T10:38:47.710Z
